fips;	county
006051;	Mono County, CA
006053;	Monterey County, CA
006055;	Napa County, CA
006057;	Nevada County, CA
006059;	Orange County, CA
006061;	Placer County, CA
006063;	Plumas County, CA
006065;	Riverside County, CA
006067;	Sacramento County, CA
006069;	San Benito County, CA
006071;	San Bernardino County, CA
006073;	San Diego County, CA
006075;	San Francisco County, CA
006077;	San Joaquin County, CA
006079;	San Luis Obispo County, CA
006081;	San Mateo County, CA
006083;	Santa Barbara County, CA
006085;	Santa Clara County, CA
006087;	Santa Cruz County, CA
006089;	Shasta County, CA
006091;	Sierra County, CA
006093;	Siskiyou County, CA
006095;	Solano County, CA
006097;	Sonoma County, CA
006099;	Stanislaus County, CA
006101;	Sutter County, CA
006103;	Tehama County, CA
006105;	Trinity County, CA
006107;	Tulare County, CA
006109;	Tuolumne County, CA
006111;	Ventura County, CA
006113;	Yolo County, CA
006115;	Yuba County, CA
008001;	Adams County, CO
008003;	Alamosa County, CO
008005;	Arapahoe County, CO
008007;	Archuleta County, CO
008009;	Baca County, CO
008011;	Bent County, CO
008013;	Boulder County, CO
008014;	Broomfield County, CO
008015;	Chaffee County, CO
008017;	Cheyenne County, CO
008019;	Clear Creek County, CO
008021;	Conejos County, CO
008023;	Costilla County, CO
008025;	Crowley County, CO
008027;	Custer County, CO
008029;	Delta County, CO
008031;	Denver County, CO
008033;	Dolores County, CO
008035;	Douglas County, CO
008037;	Eagle County, CO
008039;	Elbert County, CO
008041;	El Paso County, CO
008043;	Fremont County, CO
008045;	Garfield County, CO
008047;	Gilpin County, CO
008049;	Grand County, CO
008051;	Gunnison County, CO
008053;	Hinsdale County, CO
008055;	Huerfano County, CO
008057;	Jackson County, CO
008059;	Jefferson County, CO
008061;	Kiowa County, CO
008063;	Kit Carson County, CO
008065;	Lake County, CO
008067;	La Plata County, CO
008069;	Larimer County, CO
008071;	Las Animas County, CO
008073;	Lincoln County, CO
008075;	Logan County, CO
008077;	Mesa County, CO
008079;	Mineral County, CO
008081;	Moffat County, CO
008083;	Montezuma County, CO
008085;	Montrose County, CO
008087;	Morgan County, CO
008089;	Otero County, CO
008091;	Ouray County, CO
008093;	Park County, CO
008095;	Phillips County, CO
008097;	Pitkin County, CO
008099;	Prowers County, CO
008101;	Pueblo County, CO
008103;	Rio Blanco County, CO
008105;	Rio Grande County, CO
008107;	Routt County, CO
008109;	Saguache County, CO
008111;	San Juan County, CO
008113;	San Miguel County, CO
008115;	Sedgwick County, CO
008117;	Summit County, CO
008119;	Teller County, CO
008121;	Washington County, CO
008123;	Weld County, CO
008125;	Yuma County, CO
009001;	Fairfield County, CT
009003;	Hartford County, CT
009005;	Litchfield County, CT
009007;	Middlesex County, CT
009009;	New Haven County, CT
009011;	New London County, CT
009013;	Tolland County, CT
009015;	Windham County, CT
010001;	Kent County, DE
010003;	New Castle County, DE
010005;	Sussex County, DE
011001;	District of Columbia, DC
012001;	Alachua County, FL
012003;	Baker County, FL
012005;	Bay County, FL
012007;	Bradford County, FL
012009;	Brevard County, FL
012011;	Broward County, FL
012013;	Calhoun County, FL
012015;	Charlotte County, FL
012017;	Citrus County, FL
012019;	Clay County, FL
012021;	Collier County, FL
012023;	Columbia County, FL
012027;	DeSoto County, FL
012029;	Dixie County, FL
012031;	Duval County, FL
012033;	Escambia County, FL
012035;	Flagler County, FL
012037;	Franklin County, FL
012039;	Gadsden County, FL
012041;	Gilchrist County, FL
012043;	Glades County, FL
012045;	Gulf County, FL
012047;	Hamilton County, FL
012049;	Hardee County, FL
012051;	Hendry County, FL
012053;	Hernando County, FL
012055;	Highlands County, FL
012057;	Hillsborough County, FL
012059;	Holmes County, FL
012061;	Indian River County, FL
012063;	Jackson County, FL
012065;	Jefferson County, FL
012067;	Lafayette County, FL
012069;	Lake County, FL
012071;	Lee County, FL
012073;	Leon County, FL
012075;	Levy County, FL
012077;	Liberty County, FL
012079;	Madison County, FL
012081;	Manatee County, FL
012083;	Marion County, FL
012085;	Martin County, FL
012086;	Miami-Dade County, FL
012087;	Monroe County, FL
012089;	Nassau County, FL
012091;	Okaloosa County, FL
012093;	Okeechobee County, FL
012095;	Orange County, FL
012097;	Osceola County, FL
012099;	Palm Beach County, FL
012101;	Pasco County, FL
012103;	Pinellas County, FL
012105;	Polk County, FL
012107;	Putnam County, FL
012109;	St. Johns County, FL
012111;	St. Lucie County, FL
012113;	Santa Rosa County, FL
012115;	Sarasota County, FL
012117;	Seminole County, FL
012119;	Sumter County, FL
012121;	Suwannee County, FL
012123;	Taylor County, FL
012125;	Union County, FL
012127;	Volusia County, FL
012129;	Wakulla County, FL
012131;	Walton County, FL
012133;	Washington County, FL
013001;	Appling County, GA
013003;	Atkinson County, GA
013005;	Bacon County, GA
013007;	Baker County, GA
013009;	Baldwin County, GA
013011;	Banks County, GA
013013;	Barrow County, GA
013015;	Bartow County, GA
013017;	Ben Hill County, GA
013019;	Berrien County, GA
013021;	Bibb County, GA
013023;	Bleckley County, GA
013025;	Brantley County, GA
013027;	Brooks County, GA
013029;	Bryan County, GA
013031;	Bulloch County, GA
013033;	Burke County, GA
013035;	Butts County, GA
013037;	Calhoun County, GA
013039;	Camden County, GA
013043;	Candler County, GA
013045;	Carroll County, GA
013047;	Catoosa County, GA
013049;	Charlton County, GA
013051;	Chatham County, GA
013053;	Chattahoochee County, GA
013055;	Chattooga County, GA
013057;	Cherokee County, GA
013059;	Clarke County, GA
013061;	Clay County, GA
013063;	Clayton County, GA
013065;	Clinch County, GA
013067;	Cobb County, GA
013069;	Coffee County, GA
013071;	Colquitt County, GA
013073;	Columbia County, GA
013075;	Cook County, GA
013077;	Coweta County, GA
013079;	Crawford County, GA
013081;	Crisp County, GA
013083;	Dade County, GA
013085;	Dawson County, GA
013087;	Decatur County, GA
013089;	DeKalb County, GA
013091;	Dodge County, GA
013093;	Dooly County, GA
013095;	Dougherty County, GA
013097;	Douglas County, GA
013099;	Early County, GA
013101;	Echols County, GA
013103;	Effingham County, GA
013105;	Elbert County, GA
013107;	Emanuel County, GA
013109;	Evans County, GA
013111;	Fannin County, GA
013113;	Fayette County, GA
013115;	Floyd County, GA
013117;	Forsyth County, GA
013119;	Franklin County, GA
013121;	Fulton County, GA
013123;	Gilmer County, GA
013125;	Glascock County, GA
013127;	Glynn County, GA
013129;	Gordon County, GA
013131;	Grady County, GA
013133;	Greene County, GA
013135;	Gwinnett County, GA
013137;	Habersham County, GA
013139;	Hall County, GA
013141;	Hancock County, GA
013143;	Haralson County, GA
013145;	Harris County, GA
013147;	Hart County, GA
013149;	Heard County, GA
013151;	Henry County, GA
013153;	Houston County, GA
013155;	Irwin County, GA
013157;	Jackson County, GA
013159;	Jasper County, GA
013161;	Jeff Davis County, GA
013163;	Jefferson County, GA
013165;	Jenkins County, GA
013167;	Johnson County, GA
013169;	Jones County, GA
013171;	Lamar County, GA
013173;	Lanier County, GA
013175;	Laurens County, GA
013177;	Lee County, GA
013179;	Liberty County, GA
013181;	Lincoln County, GA
013183;	Long County, GA
013185;	Lowndes County, GA
013187;	Lumpkin County, GA
013189;	McDuffie County, GA
013191;	McIntosh County, GA
013193;	Macon County, GA
013195;	Madison County, GA
013197;	Marion County, GA
013199;	Meriwether County, GA
013201;	Miller County, GA
013205;	Mitchell County, GA
013207;	Monroe County, GA
013209;	Montgomery County, GA
013211;	Morgan County, GA
013213;	Murray County, GA
013215;	Muscogee County, GA
013217;	Newton County, GA
013219;	Oconee County, GA
013221;	Oglethorpe County, GA
013223;	Paulding County, GA
013225;	Peach County, GA
013227;	Pickens County, GA
013229;	Pierce County, GA
013231;	Pike County, GA
013233;	Polk County, GA
013235;	Pulaski County, GA
013237;	Putnam County, GA
013239;	Quitman County, GA
013241;	Rabun County, GA
013243;	Randolph County, GA
013245;	Richmond County, GA
013247;	Rockdale County, GA
013249;	Schley County, GA
013251;	Screven County, GA
013253;	Seminole County, GA
013255;	Spalding County, GA
013257;	Stephens County, GA
013259;	Stewart County, GA
013261;	Sumter County, GA
013263;	Talbot County, GA
013265;	Taliaferro County, GA
013267;	Tattnall County, GA
013269;	Taylor County, GA
013271;	Telfair County, GA
013273;	Terrell County, GA
013275;	Thomas County, GA
013277;	Tift County, GA
013279;	Toombs County, GA
013281;	Towns County, GA
013283;	Treutlen County, GA
013285;	Troup County, GA
013287;	Turner County, GA
013289;	Twiggs County, GA
013291;	Union County, GA
013293;	Upson County, GA
013295;	Walker County, GA
013297;	Walton County, GA
013299;	Ware County, GA
013301;	Warren County, GA
013303;	Washington County, GA
013305;	Wayne County, GA
013307;	Webster County, GA
013309;	Wheeler County, GA
013311;	White County, GA
013313;	Whitfield County, GA
013315;	Wilcox County, GA
013317;	Wilkes County, GA
013319;	Wilkinson County, GA
013321;	Worth County, GA
015001;	Hawaii County, HI
015003;	Honolulu County, HI
015005;	Kalawao County, HI
015007;	Kauai County, HI
015009;	Maui County, HI
016001;	Ada County, ID
016003;	Adams County, ID
016005;	Bannock County, ID
016007;	Bear Lake County, ID
016009;	Benewah County, ID
016011;	Bingham County, ID
016013;	Blaine County, ID
016015;	Boise County, ID
016017;	Bonner County, ID
016019;	Bonneville County, ID
016021;	Boundary County, ID
016023;	Butte County, ID
016025;	Camas County, ID
016027;	Canyon County, ID
016029;	Caribou County, ID
016031;	Cassia County, ID
016033;	Clark County, ID
016035;	Clearwater County, ID
016037;	Custer County, ID
016039;	Elmore County, ID
016041;	Franklin County, ID
016043;	Fremont County, ID
016045;	Gem County, ID
016047;	Gooding County, ID
016049;	Idaho County, ID
016051;	Jefferson County, ID
016053;	Jerome County, ID
016055;	Kootenai County, ID
016057;	Latah County, ID
016059;	Lemhi County, ID
016061;	Lewis County, ID
016063;	Lincoln County, ID
016065;	Madison County, ID
016067;	Minidoka County, ID
016069;	Nez Perce County, ID
016071;	Oneida County, ID
016073;	Owyhee County, ID
016075;	Payette County, ID
016077;	Power County, ID
016079;	Shoshone County, ID
016081;	Teton County, ID
016083;	Twin Falls County, ID
016085;	Valley County, ID
016087;	Washington County, ID
017001;	Adams County, IL
017003;	Alexander County, IL
017005;	Bond County, IL
017007;	Boone County, IL
017009;	Brown County, IL
017011;	Bureau County, IL
017013;	Calhoun County, IL
017015;	Carroll County, IL
017017;	Cass County, IL
017019;	Champaign County, IL
017021;	Christian County, IL
017023;	Clark County, IL
017025;	Clay County, IL
017027;	Clinton County, IL
017029;	Coles County, IL
017031;	Cook County, IL
017033;	Crawford County, IL
017035;	Cumberland County, IL
017037;	DeKalb County, IL
017039;	De Witt County, IL
017041;	Douglas County, IL
017043;	DuPage County, IL
017045;	Edgar County, IL
017047;	Edwards County, IL
017049;	Effingham County, IL
017051;	Fayette County, IL
017053;	Ford County, IL
017055;	Franklin County, IL
017057;	Fulton County, IL
017059;	Gallatin County, IL
017061;	Greene County, IL
017063;	Grundy County, IL
017065;	Hamilton County, IL
017067;	Hancock County, IL
017069;	Hardin County, IL
017071;	Henderson County, IL
017073;	Henry County, IL
017075;	Iroquois County, IL
017077;	Jackson County, IL
017079;	Jasper County, IL
017081;	Jefferson County, IL
017083;	Jersey County, IL
017085;	Jo Daviess County, IL
017087;	Johnson County, IL
017089;	Kane County, IL
017091;	Kankakee County, IL
017093;	Kendall County, IL
017095;	Knox County, IL
017097;	Lake County, IL
017099;	LaSalle County, IL
017101;	Lawrence County, IL
017103;	Lee County, IL
017105;	Livingston County, IL
017107;	Logan County, IL
017109;	McDonough County, IL
017111;	McHenry County, IL
017113;	McLean County, IL
017115;	Macon County, IL
017117;	Macoupin County, IL
017119;	Madison County, IL
017121;	Marion County, IL
017123;	Marshall County, IL
017125;	Mason County, IL
017127;	Massac County, IL
017129;	Menard County, IL
017131;	Mercer County, IL
017133;	Monroe County, IL
017135;	Montgomery County, IL
017137;	Morgan County, IL
017139;	Moultrie County, IL
017141;	Ogle County, IL
017143;	Peoria County, IL
017145;	Perry County, IL
017147;	Piatt County, IL
017149;	Pike County, IL
017151;	Pope County, IL
017153;	Pulaski County, IL
017155;	Putnam County, IL
017157;	Randolph County, IL
017159;	Richland County, IL
017161;	Rock Island County, IL
017163;	St. Clair County, IL
017165;	Saline County, IL
017167;	Sangamon County, IL
017169;	Schuyler County, IL
017171;	Scott County, IL
017173;	Shelby County, IL
017175;	Stark County, IL
017177;	Stephenson County, IL
017179;	Tazewell County, IL
017181;	Union County, IL
017183;	Vermilion County, IL
017185;	Wabash County, IL
017187;	Warren County, IL
017189;	Washington County, IL
017191;	Wayne County, IL
017193;	White County, IL
017195;	Whiteside County, IL
017197;	Will County, IL
017199;	Williamson County, IL
017201;	Winnebago County, IL
017203;	Woodford County, IL
018001;	Adams County, IN
018003;	Allen County, IN
018005;	Bartholomew County, IN
018007;	Benton County, IN
018009;	Blackford County, IN
018011;	Boone County, IN
018013;	Brown County, IN
018015;	Carroll County, IN
018017;	Cass County, IN
018019;	Clark County, IN
018021;	Clay County, IN
018023;	Clinton County, IN
018025;	Crawford County, IN
018027;	Daviess County, IN
018029;	Dearborn County, IN
018031;	Decatur County, IN
018033;	DeKalb County, IN
018035;	Delaware County, IN
018037;	Dubois County, IN
018039;	Elkhart County, IN
018041;	Fayette County, IN
018043;	Floyd County, IN
018045;	Fountain County, IN
018047;	Franklin County, IN
018049;	Fulton County, IN
018051;	Gibson County, IN
018053;	Grant County, IN
018055;	Greene County, IN
018057;	Hamilton County, IN
018059;	Hancock County, IN
018061;	Harrison County, IN
018063;	Hendricks County, IN
018065;	Henry County, IN
018067;	Howard County, IN
018069;	Huntington County, IN
018071;	Jackson County, IN
018073;	Jasper County, IN
018075;	Jay County, IN
018077;	Jefferson County, IN
018079;	Jennings County, IN
018081;	Johnson County, IN
018083;	Knox County, IN
018085;	Kosciusko County, IN
018087;	LaGrange County, IN
018089;	Lake County, IN
018091;	LaPorte County, IN
018093;	Lawrence County, IN
018095;	Madison County, IN
018097;	Marion County, IN
018099;	Marshall County, IN
018101;	Martin County, IN
018103;	Miami County, IN
018105;	Monroe County, IN
018107;	Montgomery County, IN
018109;	Morgan County, IN
018111;	Newton County, IN
018113;	Noble County, IN
018115;	Ohio County, IN
018117;	Orange County, IN
018119;	Owen County, IN
018121;	Parke County, IN
018123;	Perry County, IN
018125;	Pike County, IN
018127;	Porter County, IN
018129;	Posey County, IN
018131;	Pulaski County, IN
018133;	Putnam County, IN
018135;	Randolph County, IN
018137;	Ripley County, IN
018139;	Rush County, IN
018141;	St. Joseph County, IN
018143;	Scott County, IN
018145;	Shelby County, IN
018147;	Spencer County, IN
018149;	Starke County, IN
018151;	Steuben County, IN
018153;	Sullivan County, IN
018155;	Switzerland County, IN
018157;	Tippecanoe County, IN
018159;	Tipton County, IN
018161;	Union County, IN
018163;	Vanderburgh County, IN
018165;	Vermillion County, IN
018167;	Vigo County, IN
018169;	Wabash County, IN
018171;	Warren County, IN
018173;	Warrick County, IN
018175;	Washington County, IN
018177;	Wayne County, IN
018179;	Wells County, IN
018181;	White County, IN
018183;	Whitley County, IN
019001;	Adair County, IA
019003;	Adams County, IA
019005;	Allamakee County, IA
019007;	Appanoose County, IA
019009;	Audubon County, IA
019011;	Benton County, IA
019013;	Black Hawk County, IA
019015;	Boone County, IA
019017;	Bremer County, IA
019019;	Buchanan County, IA
019021;	Buena Vista County, IA
019023;	Butler County, IA
019025;	Calhoun County, IA
019027;	Carroll County, IA
019029;	Cass County, IA
019031;	Cedar County, IA
019033;	Cerro Gordo County, IA
019035;	Cherokee County, IA
019037;	Chickasaw County, IA
019039;	Clarke County, IA
019041;	Clay County, IA
019043;	Clayton County, IA
019045;	Clinton County, IA
019047;	Crawford County, IA
019049;	Dallas County, IA
019051;	Davis County, IA
019053;	Decatur County, IA
019055;	Delaware County, IA
019057;	Des Moines County, IA
019059;	Dickinson County, IA
019061;	Dubuque County, IA
019063;	Emmet County, IA
019065;	Fayette County, IA
019067;	Floyd County, IA
019069;	Franklin County, IA
019071;	Fremont County, IA
019073;	Greene County, IA
019075;	Grundy County, IA
019077;	Guthrie County, IA
019079;	Hamilton County, IA
019081;	Hancock County, IA
019083;	Hardin County, IA
019085;	Harrison County, IA
019087;	Henry County, IA
019089;	Howard County, IA
019091;	Humboldt County, IA
019093;	Ida County, IA
019095;	Iowa County, IA
019097;	Jackson County, IA
019099;	Jasper County, IA
019101;	Jefferson County, IA
019103;	Johnson County, IA
019105;	Jones County, IA
019107;	Keokuk County, IA
019109;	Kossuth County, IA
019111;	Lee County, IA
019113;	Linn County, IA
019115;	Louisa County, IA
019117;	Lucas County, IA
019119;	Lyon County, IA
019121;	Madison County, IA
019123;	Mahaska County, IA
019125;	Marion County, IA
019127;	Marshall County, IA
019129;	Mills County, IA
019131;	Mitchell County, IA
019133;	Monona County, IA
019135;	Monroe County, IA
019137;	Montgomery County, IA
019139;	Muscatine County, IA
019141;	O'Brien County, IA
019143;	Osceola County, IA
019145;	Page County, IA
019147;	Palo Alto County, IA
019149;	Plymouth County, IA
019151;	Pocahontas County, IA
019153;	Polk County, IA
019155;	Pottawattamie County, IA
019157;	Poweshiek County, IA
019159;	Ringgold County, IA
019161;	Sac County, IA
019163;	Scott County, IA
019165;	Shelby County, IA
019167;	Sioux County, IA
019169;	Story County, IA
019171;	Tama County, IA
019173;	Taylor County, IA
019175;	Union County, IA
019177;	Van Buren County, IA
019179;	Wapello County, IA
019181;	Warren County, IA
019183;	Washington County, IA
019185;	Wayne County, IA
019187;	Webster County, IA
019189;	Winnebago County, IA
019191;	Winneshiek County, IA
019193;	Woodbury County, IA
019195;	Worth County, IA
019197;	Wright County, IA
020001;	Allen County, KS
020003;	Anderson County, KS
020005;	Atchison County, KS
020007;	Barber County, KS
020009;	Barton County, KS
020011;	Bourbon County, KS
020013;	Brown County, KS
020015;	Butler County, KS
020017;	Chase County, KS
020019;	Chautauqua County, KS
020021;	Cherokee County, KS
020023;	Cheyenne County, KS
020025;	Clark County, KS
020027;	Clay County, KS
020029;	Cloud County, KS
020031;	Coffey County, KS
020033;	Comanche County, KS
020035;	Cowley County, KS
020037;	Crawford County, KS
020039;	Decatur County, KS
020041;	Dickinson County, KS
020043;	Doniphan County, KS
020045;	Douglas County, KS
020047;	Edwards County, KS
020049;	Elk County, KS
020051;	Ellis County, KS
020053;	Ellsworth County, KS
020055;	Finney County, KS
020057;	Ford County, KS
020059;	Franklin County, KS
020061;	Geary County, KS
020063;	Gove County, KS
020065;	Graham County, KS
020067;	Grant County, KS
020069;	Gray County, KS
020071;	Greeley County, KS
020073;	Greenwood County, KS
020075;	Hamilton County, KS
020077;	Harper County, KS
020079;	Harvey County, KS
020081;	Haskell County, KS
020083;	Hodgeman County, KS
020085;	Jackson County, KS
020087;	Jefferson County, KS
020089;	Jewell County, KS
020091;	Johnson County, KS
020093;	Kearny County, KS
020095;	Kingman County, KS
020097;	Kiowa County, KS
020099;	Labette County, KS
020101;	Lane County, KS
020103;	Leavenworth County, KS
020105;	Lincoln County, KS
020107;	Linn County, KS
020109;	Logan County, KS
020111;	Lyon County, KS
020113;	McPherson County, KS
020115;	Marion County, KS
020117;	Marshall County, KS
020119;	Meade County, KS
020121;	Miami County, KS
020123;	Mitchell County, KS
020125;	Montgomery County, KS
020127;	Morris County, KS
020129;	Morton County, KS
020131;	Nemaha County, KS
020133;	Neosho County, KS
020135;	Ness County, KS
020137;	Norton County, KS
020139;	Osage County, KS
020141;	Osborne County, KS
020143;	Ottawa County, KS
020145;	Pawnee County, KS
020147;	Phillips County, KS
020149;	Pottawatomie County, KS
020151;	Pratt County, KS
020153;	Rawlins County, KS
020155;	Reno County, KS
020157;	Republic County, KS
020159;	Rice County, KS
020161;	Riley County, KS
020163;	Rooks County, KS
020165;	Rush County, KS
020167;	Russell County, KS
020169;	Saline County, KS
020171;	Scott County, KS
020173;	Sedgwick County, KS
020175;	Seward County, KS
020177;	Shawnee County, KS
020179;	Sheridan County, KS
020181;	Sherman County, KS
020183;	Smith County, KS
020185;	Stafford County, KS
020187;	Stanton County, KS
020189;	Stevens County, KS
020191;	Sumner County, KS
020193;	Thomas County, KS
020195;	Trego County, KS
020197;	Wabaunsee County, KS
020199;	Wallace County, KS
020201;	Washington County, KS
020203;	Wichita County, KS
020205;	Wilson County, KS
020207;	Woodson County, KS
020209;	Wyandotte County, KS
021001;	Adair County, KY
021003;	Allen County, KY
021005;	Anderson County, KY
021007;	Ballard County, KY
021009;	Barren County, KY
021011;	Bath County, KY
021013;	Bell County, KY
021015;	Boone County, KY
021017;	Bourbon County, KY
021019;	Boyd County, KY
021021;	Boyle County, KY
021023;	Bracken County, KY
021025;	Breathitt County, KY
021027;	Breckinridge County, KY
021029;	Bullitt County, KY
021031;	Butler County, KY
021033;	Caldwell County, KY
021035;	Calloway County, KY
021037;	Campbell County, KY
021039;	Carlisle County, KY
021041;	Carroll County, KY
021043;	Carter County, KY
021045;	Casey County, KY
021047;	Christian County, KY
021049;	Clark County, KY
021051;	Clay County, KY
021053;	Clinton County, KY
021055;	Crittenden County, KY
021057;	Cumberland County, KY
021059;	Daviess County, KY
021061;	Edmonson County, KY
021063;	Elliott County, KY
021065;	Estill County, KY
021067;	Fayette County, KY
021069;	Fleming County, KY
021071;	Floyd County, KY
021073;	Franklin County, KY
021075;	Fulton County, KY
021077;	Gallatin County, KY
021079;	Garrard County, KY
021081;	Grant County, KY
021083;	Graves County, KY
021085;	Grayson County, KY
021087;	Green County, KY
021089;	Greenup County, KY
021091;	Hancock County, KY
021093;	Hardin County, KY
021095;	Harlan County, KY
021097;	Harrison County, KY
021099;	Hart County, KY
021101;	Henderson County, KY
021103;	Henry County, KY
021105;	Hickman County, KY
021107;	Hopkins County, KY
021109;	Jackson County, KY
021111;	Jefferson County, KY
021113;	Jessamine County, KY
021115;	Johnson County, KY
021117;	Kenton County, KY
021119;	Knott County, KY
021121;	Knox County, KY
021123;	Larue County, KY
021125;	Laurel County, KY
021127;	Lawrence County, KY
021129;	Lee County, KY
021131;	Leslie County, KY
021133;	Letcher County, KY
